User_ID,Country,University,Qualification,Discipline,GPA
1,canada,college,diploma,computer programmer,90
2,India,LPS,School,Computer Science,85
3,nigeria,crutech crossriver,bsc,electrical/electronic engineering,3.56
4,Indonesia,Lampung University,Bachelor,Computer Science,"3,55"
5,United states,Ohio university southern,freshman,undecided,2.5
6,India,Bms institute of technology,bachelor of engineering,information science,7
7,Brasil,UTFPR,university,fashion design,82%
8,United States,DeVry University,Bachelors,Software Engineering,3.75
9,United States,None,None,None,None
10,india,Delhi College of Engineering,Bachelors,Environmental Engineering,50
11,ca,american river college,Junior,sociology,2.8
12,United States,Thomas University,bachelors,biology,3.3
13,United Kingdom,Loughborough University,Degree - Bachelor of Arts,Industrial Design and Technology,4.2
14,India,Cluster Innovation Centre,Bachelors,Information Technology and Mathematical Innovations,76.12
15,España,IES Diego Velázquez,1 bachillerato,ciencias,70%
16,pakistan,Govt Postgraduate College,Matric,Non medical,1
17,belgium,HELMO,bachelot,economics and development studies,60%
18,India,pune university,graduate,account,57%
,,PES UNIVERSITY,,,
19,India,,UG,computer science,8.86
20,India,Manipal university,Undergraduate,Masters in Hospitality and Tourism,7.4
21,Indonesia,IPB University,Bachelor,Economics and Development Studies,"3,65 of 4,00"
22,india,cluster innovation centre,12th,IT&MI,79.8
23,United States of America,University of Louisiana at Lafayette,Bachelor's,Petroluem engineering,3.75
24,India,cic,ug,ba,9
25,South Africa,North West University,3rd Year Level,Statistics,65%
26,SOUTH KOREA,YONSEI UNIVERSITY,1,ECONOMICS,3.98
27,Indonesia,MAN 2 bandar lampung,third year high school,natural science,50%
28,Morocco,SUPDECO BUSINESS SCHOOL,master,Marketing and sales,55%
29,Malaysia,Monash University Malaysia,Degree,Mechatronics Engineering,3.875/84.11
30,India,Shiv Nadar University,masters,MBA,85
31,france,excelia,3rd year,BBA INTERNATIONAL,75
32,India,Narayana E Techno school,Computer,9,90%
33,Malaysia,Universiti Teknologi Mara,Diploma,Information Management,2.48
34,india,amity International school,school,commerce with maths,97.20%
35,United States,San Bernardino,sophomore,Cyber security,3
36,United Arab Emirates,International Indian School,Student,Commerce,70%
37,us,California state University East bay,senior,video and animation,3
38,Netherlands,Wageningen University and Research,Undergraduate,Environmental Sciences,0
39,India,NIOS,Secondary,Secondary subject,49.5
40,USA,Valencia Community College,Associate Degree,Philosophy,2.5
41,Indonesia,Parahyangan Catholic University,Bachelor,Accounting,"2,95"
42,America,utah,freshman,nursing,4
43,india,"GMC , Rajnandgaon",graduate,MBBS,84%
44,India,Sharda university,bachelor,medical laboratory technology,78%
45,Nigeria,Covenant university,undergraduate,electrical and electronics engineering,98%
46,Egypt,iit bombay,computer science,computer science,4
47,côte d'Ivoire,UPGC korhogo,licence 1,English,100%
48,China,Peking University,Masters,Management,3
49,India,Kurukshetra University,B.Tech.,Mechanical Engineering,67
