Headline,Type of opportunity,Discipline,Minimum Qualification / Applicable for,Countries eligible,Location of opportunity,vector
International Fellowship World Forestry Center,34,31,14,70,211,"[ 0.12801674  0.4307701  -0.19046515  0.1869058  -0.13023981 -0.24836861
 -0.62458867 -0.40304419  0.33792703 -0.29874797 -0.12351734 -0.17257476
  0.22089794 -0.30215016 -0.14759605  0.11159255  0.37317042  0.39662232
 -0.21650249 -0.02493619  0.27144341  0.01977922 -0.27994736 -0.08871294
  0.04662797 -0.68033226 -0.05785432 -0.11252309 -0.17944551  0.00891725
  2.07929585 -0.14856107 -0.20017657 -0.60507781 -0.08489607  0.10784129
 -0.03679007  0.06996455  0.22471838  0.00844626 -0.21321784 -0.33803829
  0.03180634  0.01689748  0.14074511  0.22225672 -0.23135284 -0.16935874
  0.12806093  0.04427323]"
City of Dreams Pavilion 2020: Call for Proposals,34,10,38,70,211,"[ 0.12760471  0.10491298 -0.03907137  0.01516869  0.05118816  0.06249797
 -0.14238364 -0.35160903  0.13141508  0.05512994  0.17379154  0.06838931
 -0.207425    0.05391462  0.05353048  0.31416685  0.36998109 -0.02431098
  0.08423484 -0.45958586  0.12765428 -0.15585356 -0.13040932 -0.10323154
  0.14296284 -1.14580314 -0.17238108 -0.13723312  0.24269703  0.29993112
  3.01811558  0.14354189 -0.2826367  -0.74987014 -0.21320976 -0.05286196
 -0.1720205   0.2030198  -0.11388414 -0.08583954 -0.34311594 -0.21510844
  0.16629535  0.13405839 -0.08408846  0.31391507 -0.06593256  0.2209556
  0.02753014  0.06401978]"
Urban Confluence Silicon Valley Competition,25,10,0,70,211,"[ 3.28292316e-01  2.86317619e-01 -1.58196887e-01  2.12268502e-01
  5.50898132e-02 -2.31774052e-01 -6.75430048e-01 -1.15510997e-01
 -1.57479215e-01  1.75627054e-01  8.03546578e-02 -4.65058394e-02
 -1.64194090e-01 -5.92969403e-02 -2.48179988e-01 -2.93272817e-01
  9.79366731e-02  2.40371435e-01 -1.12317836e-01 -1.24636699e-01
  1.29009692e-01  9.19240353e-03 -3.97706757e-01 -6.02224329e-02
 -1.70042052e-01 -9.86785671e-01 -4.55284294e-02 -2.80358242e-01
 -1.62878651e-01 -8.04522559e-02  2.71594514e+00 -7.66708088e-02
 -1.38392483e-01 -7.63953841e-01 -1.54926999e-01 -6.11659194e-02
 -2.31148943e-01  1.78805299e-01  1.02826074e-01  3.63716501e-02
 -2.98965892e-01 -1.96269325e-01 -8.12580125e-02 -1.29856296e-01
 -9.89478667e-02  9.55914926e-02 -4.46059192e-01 -3.21882675e-01
  2.07788734e-03  1.14134298e-01]"
REDEFINING LEARNING SPACES,25,10,0,70,211,"[-6.56997906e-04  3.15225162e-01 -1.92399151e-01 -1.99747542e-01
 -6.76743660e-02 -1.97760779e-01 -5.54295386e-01 -3.12869323e-01
  1.11320219e-01 -9.30641162e-03 -5.06574061e-03 -1.38441805e-01
  1.04150291e-01 -2.86394499e-01 -2.37756211e-01 -1.32242889e-01
 -2.27166729e-02  4.86430413e-01 -1.14990181e-01 -1.68503302e-01
  2.51239654e-01  2.83359302e-01 -2.94420760e-01  8.35410516e-02
  5.03047165e-02 -1.12768899e+00 -2.49110107e-01 -4.11003922e-01
 -4.05637869e-01 -2.83762891e-01  2.32343112e+00  1.08163302e-01
 -2.93741055e-01 -9.77448180e-01  1.36600186e-01  7.93623718e-04
 -1.07515350e-01  2.29779456e-01  3.62692325e-01  2.58517893e-02
 -1.44106440e-01 -1.68252262e-01  3.46758573e-03  2.52535001e-01
 -7.00529640e-02  3.38335624e-01  1.06066846e-01  1.21755285e-01
 -2.23513806e-01  2.52371828e-01]"
Mozambique Preschool: Flor da Manhã,25,10,0,70,125,"[ 0.11024717  0.15261545 -0.17443711 -0.28652955  0.15148505  0.33130222
 -0.34781839 -0.20054743  0.12693543  0.10709767  0.07141539 -0.01381661
 -0.07676743 -0.10038781  0.24238732  0.15857272  0.30872611  0.20924222
  0.21623745 -0.28131444  0.04175335  0.17523589 -0.26137039  0.24329257
  0.13235558 -1.27302778 -0.23856112 -0.30377459  0.01888223 -0.10860278
  2.74929444  0.34615338 -0.12939049 -0.73670388  0.06859294  0.08697328
  0.04060361  0.29825056 -0.20811567 -0.39438821 -0.44362166 -0.21482483
  0.24106133  0.19269195 -0.07074806  0.096511   -0.21210421 -0.075568
 -0.01556983  0.23902717]"
OPEN COMPETITION TO DEVELOP CONCEPTUAL DESIGNS FOR GARAGE MUSEUM OF CONTEMPORARY ART’S SUMMER CINEMA,25,0,0,70,160,"[ 0.10695364  0.5279894   0.00496289 -0.0678123  -0.00801211 -0.24537931
 -0.57185869 -0.42492284 -0.06522445  0.00747397  0.0803836  -0.17655456
 -0.13537762  0.02322042  0.26244469  0.12984416  0.08758333  0.18764109
 -0.38653827 -0.18893093  0.57326989 -0.11998091 -0.37661011 -0.01865001
 -0.04365363 -0.64358909 -0.28105291 -0.15455564 -0.09855559 -0.09380262
  2.30159644  0.003934   -0.1923355  -0.47231304  0.0249247   0.14272224
  0.3633318   0.35184226 -0.04986943 -0.11754327 -0.03720253 -0.3474808
  0.10396344 -0.14202162 -0.27973682  0.20630775  0.03632387 -0.27960134
 -0.01004133 -0.06076504]"
International Urban Design Ideas Competition Berlin-Brandenburg 2070,25,10,0,70,81,"[ 2.77519143e-01  2.87960803e-01 -9.27653205e-02 -3.31582810e-03
 -2.11657427e-01 -1.05811800e-01 -2.45270743e-01 -4.01049629e-01
 -4.73780252e-02 -6.54651404e-02  1.84930829e-01 -1.32516000e-01
 -2.18232713e-01  3.13007730e-02  1.06321655e-01  2.03756370e-01
  3.54088140e-01  1.72978514e-01 -1.52979742e-01 -7.62715808e-02
  3.98905224e-01 -2.50418626e-01 -1.55939773e-01  1.69050846e-01
  1.34262885e-02 -7.54977710e-01 -2.10103399e-01 -1.27087883e-01
 -1.04322069e-01  7.67355406e-02  2.47356285e+00  1.63406971e-01
 -1.99639972e-01 -6.15384833e-01 -1.82305431e-01 -4.34331188e-02
  2.96629798e-02  2.64790301e-01 -1.67724706e-01  1.03204480e-01
 -2.31532373e-01 -2.96204144e-01  2.77014459e-01 -1.62440711e-01
 -2.27892439e-01  2.27357229e-01 -2.17563244e-03  1.92033144e-01
  4.56780494e-02  2.57258315e-02]"
RESTART CONTEST,25,10,0,70,76,"[ 0.30097759  0.43759389 -0.36971852 -0.25435861  0.04539323  0.00310031
 -0.53052979 -0.17806    -0.10018804 -0.13132235  0.03348485 -0.04554632
 -0.22194274 -0.16925183  0.11512155 -0.1190689  -0.02799408 -0.08691253
 -0.30156092  0.18122848  0.24201061 -0.25893963 -0.42360871 -0.2330515
 -0.20976656 -0.91084229 -0.444414   -0.23980079 -0.16706584  0.18415756
  2.23862146 -0.30396856 -0.01091042 -0.36771469 -0.0386825   0.09130827
  0.18163854  0.36679786 -0.03412753  0.03957954 -0.13620431 -0.33456852
  0.07544468 -0.0325514  -0.19912832  0.28794167 -0.27041371 -0.31774806
 -0.16872684 -0.28429027]"
International Ideas Competition: LIVING IN THE CITY. Contemporary Urban Housing in Uruguay,25,10,0,70,207,"[ 0.17439563  0.22344254 -0.03789933 -0.09687996 -0.05486821 -0.0729768
 -0.32817567 -0.74381537 -0.20287797 -0.22743783  0.01448433 -0.02707015
 -0.00748136 -0.06649442  0.03177933  0.06429313  0.22516865  0.28909737
  0.18363349 -0.17797675  0.38661812 -0.08205125 -0.32629835 -0.05989343
 -0.04606532 -0.7251066  -0.0562311  -0.4874004  -0.30041606  0.14036277
  2.84693832 -0.01847026 -0.24394666 -0.68355578 -0.02808372  0.1656478
  0.06823764  0.24550932  0.13545315  0.08337188 -0.28483265 -0.26107815
  0.3526679   0.10140365 -0.05839725  0.17119928 -0.1458538   0.18622838
  0.15848565  0.25293447]"
2nd National Ideas Competition IMUVI,25,62,0,70,76,"[ 1.84479954e-01  3.52406504e-01 -1.43576048e-01  1.23514929e-01
  5.69192495e-02 -1.80841320e-01 -3.53314191e-01 -4.72318399e-01
 -1.85348566e-01 -2.60040258e-01  1.63258930e-01 -2.94081208e-01
  2.56065008e-02 -4.68857374e-01 -2.57651318e-02 -3.55343232e-02
  1.41969841e-01  3.54973314e-01  1.28681637e-03  6.57792371e-02
  1.44041513e-01 -1.24522253e-01 -3.61303421e-01  1.72584953e-01
 -2.26806185e-01 -8.30691070e-01 -1.93775090e-01 -4.00375775e-01
 -4.29099552e-01 -9.26067458e-02  2.69746651e+00  2.37137423e-02
 -2.91411988e-01 -7.17080864e-01  4.81506503e-02  2.34002805e-02
  7.16649322e-02  1.23700183e-01  3.38099464e-01  2.31748494e-01
 -2.50156081e-01 -1.47528901e-01  1.65550746e-01 -1.70449720e-01
 -4.02297312e-01  1.70300837e-01 -2.66416934e-01 -9.57392508e-02
  2.61707373e-01  1.49814814e-01]"
